index,customer_id,order_date,order_id,pages_visited,tshirt_category,tshirt_price,tshirt_quantity,user_agent
4013,684622,26/06/2015,HTS-684622-0003,11,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4014,804818,29/09/2014,HTS-804818-0001,12,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4015,823369,10/01/2014,HTS-823369-0001,12,Hoodie,23,2,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4016,tpmocx,26/12/2016,HTS-tpmocx-0002,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4017,489189,11/02/2015,HTS-489189-0001,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4018,926319,29/07/2016,HTS-926319-0004,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4019,801338,10/04/2016,HTS-801338-0002,13,Hoodie,23,2,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4020,889640,30/08/2016,HTS-889640-0001,15,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4021,385033,11/11/2014,HTS-385033-0001,15,Hoodie,23,3,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4022,y0l42m,10/10/2015,HTS-y0l42m-0001,16,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4023,190274,04/02/2016,HTS-190274-0001,17,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4024,823369,17/02/2015,HTS-823369-0002,20,Hoodie,23,3,"Mozilla/5.0 (Windows NT 6.1| WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4025,113971,23/01/2016,HTS-113971-0003,8,Hoodie,23,2,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4026,hph0f3,02/12/2015,HTS-hph0f3-0001,9,Hoodie,23,3,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4027,175068,25/02/2016,HTS-175068-0003,9,Hoodie,23,16,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4028,175068,18/09/2014,HTS-175068-0001,11,Hoodie,23,15,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4029,113971,09/02/2015,HTS-113971-0002,12,Hoodie,23,3,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4030,760004,27/12/2014,HTS-760004-0001,16,Hoodie,23,1,Mozilla/5.0 (Windows NT 6.1| WOW64| Trident/7.0| rv:11.0) like Gecko
4031,764029,11/04/2016,HTS-764029-0003,7,Hoodie,23,2,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4032,832331,02/02/2017,HTS-832331-0003,8,Hoodie,23,2,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4033,650467,11/11/2013,HTS-650467-0001,10,Hoodie,23,1,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4034,615365,07/03/2017,HTS-615365-0002,13,Hoodie,23,1,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4035,486549,24/10/2015,HTS-486549-0001,15,Hoodie,23,1,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4036,i7i7xb,29/09/2015,HTS-i7i7xb-0001,16,Hoodie,23,2,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
4037,500319,08/08/2015,HTS-500319-0003,8,Hoodie,23,11,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
4038,500319,28/09/2014,HTS-500319-0002,8,Hoodie,23,15,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
4039,152937,08/10/2016,HTS-152937-0002,14,Hoodie,23,1,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
4040,500319,10/11/2013,HTS-500319-0001,15,Hoodie,23,18,Mozilla/5.0 (Windows NT 6.1| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
4041,364879,16/03/2017,HTS-364879-0003,8,Hoodie,23,2,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4042,409885,30/12/2015,HTS-409885-0002,8,Hoodie,23,2,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4043,550340,31/10/2013,HTS-550340-0001,8,Hoodie,23,7,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4044,v1tvm3,07/04/2017,HTS-v1tvm3-0001,9,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4045,reqwe9,04/12/2016,HTS-reqwe9-0001,10,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4046,938065,31/08/2015,HTS-938065-0002,11,Hoodie,23,12,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4048,wkcwg7,16/04/2016,HTS-wkcwg7-0001,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4049,176356,23/11/2015,HTS-176356-0001,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4050,760292,28/08/2014,HTS-760292-0001,13,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4051,938065,19/05/2014,HTS-938065-0001,15,Hoodie,23,11,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4052,662921,19/07/2015,HTS-662921-0001,16,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4053,11274,20/05/2015,HTS-011274-0001,17,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4054,8680,24/10/2014,HTS-008680-0001,19,Hoodie,23,1,"Mozilla/5.0 (Windows NT 6.1| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
